中国工商银行 交易明细
账号：6222021234567890123  户名：澳乐商贸有限公司
交易日期,摘要,对方户名,对方账号,收入,支出,余额,交易流水号
2026-08-01,货款收入,某电商平台结算,6225880000001111,186400.00,,1286400.00,JS20260801001
2026-08-02,支付货款,蔡彩云,6228480000002222,,128600.00,1157800.00,JS20260802001
2026-08-03,银行手续费,,,,12.00,1157788.00,JS20260803001
2026-08-05,支付物流费,顺丰速运有限公司,6217000000003333,,43200.00,1114588.00,JS20260805001
2026-08-08,推广费,抖音电商,6226090000004444,,18200.00,1096388.00,JS20260808001
2026-08-10,代发工资,澳乐商贸有限公司,,,268400.00,827988.00,JS20260810001
2026-08-11,缴纳社保公积金,社保中心,,,42600.00,785388.00,JS20260811001
2026-08-12,税收缴款,国家税务总局,,,36800.00,748588.00,JS20260812001
2026-08-15,收款结算,拼多多平台,6226550000005555,94200.00,,842788.00,JS20260815001
2026-08-16,内部调拨,东蓓贸易有限公司,6222020000006666,,500000.00,342788.00,JS20260816001
2026-08-18,房租,某物业管理公司,,,28600.00,314188.00,JS20260818001
2026-08-19,电费,国家电网,,,8600.00,305588.00,JS20260819001
2026-08-20,费用报销,员工张某,,,3860.00,301728.00,JS20260820001
2026-08-21,结息,,,,,301728.00,JS20260821001
2026-08-22,活期结息,中国工商银行,,286.40,,302014.40,JS20260822002
2026-08-23,退款退回,某客户,6228480000007777,12640.00,,314654.40,JS20260823001
2026-08-25,ETC通行费,交通运输部,,,860.00,313794.40,JS20260825001
2026-08-26,不明款项,,,,5000.00,308794.40,JS20260826001
